#{"t_start": 1771565922.632915, "env_id": "None"}
r,l,t
-1658791.9,200,3430.702455
-676107.6,200,3434.90654
-739784.5,200,3438.958721
-1612524.6,200,3442.984657
-697671.8,200,3447.132658
-991216.8,200,3451.419701
-652363.4,200,3455.844366
-632570.4,200,3460.095886
-1739306.7,200,3464.357747
-1641751.8,200,3468.416799
-1670790.6,200,3472.496532
-729113.0,200,3476.651968
-678165.6,200,3480.909905
-1752141.7,200,3485.405
-1727667.6,200,3489.759287
-2009011.7,200,3494.006577
-735856.8,200,3498.330646
-1672892.6,200,3502.635087
-147427.7,200,3509.484744
-659766.8,200,3513.731666
-1675304.8,200,3517.73994
-156158.1,200,3521.768658
-1726719.9,200,3526.245472
-1671870.7,200,3530.709979
-1659076.1,200,3534.974135
-2070887.4,200,3539.27135
-1735905.2,200,3543.534386
-730628.5,200,3547.843453
-174615.0,200,3551.982196
-676582.1,200,3556.092095
-1676895.9,200,3560.177387
-1668349.0,200,3564.311025
-1654106.1,200,3568.434949
-726609.1,200,3572.643138
-1750347.6,200,3577.018177
-1617893.0,200,3581.097212
-657180.1,200,3585.524303
-1646040.0,200,3590.15397
-738784.2,200,3597.248944
-643192.9,200,3601.552331
-1653518.1,200,3605.65774
-1723505.5,200,3610.102419
-657051.5,200,3614.498824
-1696851.6,200,3618.90968
-664591.9,200,3622.95218
-708817.1,200,3627.11181
-712864.6,200,3631.379627
-670804.4,200,3635.426266
-698038.6,200,3639.56331
-1619104.6,200,3644.023282
-629715.1,200,3648.260511
-637696.5,200,3652.619999
-1634872.1,200,3656.895566
-1667244.4,200,3661.170143
-146195.0,200,3665.275529
-654781.4,200,3669.607683
-661848.6,200,3673.914001
-128717.4,200,3678.021501
-662111.1,200,3682.402402
-1744059.6,200,3689.50947
-673866.9,200,3693.758249
-1740929.1,200,3698.1736
-735305.2,200,3702.551691
-1706002.7,200,3706.690614
-731672.2,200,3710.988221
-1721240.3,200,3715.223329
-1738227.2,200,3719.623186
-1656953.0,200,3723.802903
-1667550.9,200,3728.009977
-1615455.6,200,3732.367843
-1665364.2,200,3736.653455
-723615.9,200,3740.96222
-709903.6,200,3745.253817
-1650062.9,200,3749.451546
-730788.8,200,3753.71703
-675075.0,200,3757.94813
-1733418.2,200,3762.181249
-637762.3,200,3766.411402
-1668014.4,200,3770.467723
-1704369.6,200,3777.418012
-1696519.8,200,3781.812997
-1603671.7,200,3786.011551
-1650943.5,200,3790.240593
-1740276.1,200,3794.424598
-1653741.4,200,3798.697886
-742872.0,200,3803.015303
-1667884.1,200,3807.038153
-1735989.9,200,3811.227807
-136518.2,200,3815.188354
-1657419.2,200,3819.497065
-1619835.5,200,3823.889398
-119291.9,200,3827.891193
-734389.5,200,3832.082645
-905250.5,200,3836.39396
-925089.2,200,3840.682844
-1738358.0,200,3845.053886
-129930.5,200,3849.253339
-140943.4,200,3853.527103
-610592.4,200,3857.664029
-653921.8,200,3864.647615
-712602.0,200,3868.904484
-1710202.7,200,3873.329463
-1705363.6,200,3877.511559
-1670927.8,200,3881.555437
-121633.4,200,3885.575563
-1715136.3,200,3889.933359
-1660283.6,200,3894.151758
-1742311.0,200,3898.377604
-638027.6,200,3902.417131
-1595343.8,200,3906.832323
-719218.5,200,3911.170549
-1629937.9,200,3915.513485
-732457.6,200,3919.634234
-1616738.7,200,3923.921218
-1669539.0,200,3928.154713
-1661623.4,200,3932.515986
-1729338.6,200,3936.958617
-133803.5,200,3941.145954
-1720719.5,200,3945.48313
-1714007.2,200,3949.942048
-1674419.3,200,3957.1901
-712246.5,200,3961.35498
-2243392.0,200,3965.931864
-1729492.5,200,3970.180593
-653457.7,200,3974.448964
-674478.7,200,3978.829516
-650405.7,200,3983.070307
-1651322.1,200,3987.364497
-660842.7,200,3991.467147
-137710.3,200,3995.384229
-1664604.7,200,3999.440042
-672819.0,200,4003.627889
-713416.9,200,4008.150143
-727370.0,200,4012.313924
-1691845.9,200,4016.710167
-1746816.1,200,4021.138197
-1665260.6,200,4025.474868
-707338.1,200,4029.561622
-140578.2,200,4033.462382
-1661181.0,200,4037.58811
-1614862.6,200,4044.83483
-1710577.2,200,4049.338211
-1634403.2,200,4053.738898
-1719282.4,200,4058.107565
-174204.8,200,4062.157706
-669132.1,200,4066.501356
-1607374.8,200,4070.745998
-1543696.4,200,4074.866329
-1725583.8,200,4079.249724
-1722127.2,200,4083.69697
-1734384.2,200,4088.015142
-1643926.7,200,4092.307319
-140698.6,200,4096.457454
-1737640.6,200,4100.502483
-692344.1,200,4104.888118
-1737898.2,200,4109.116591
-655867.1,200,4113.403721
-1724109.6,200,4117.808165
-647026.8,200,4121.957498
-1729277.0,200,4125.870719
-1667864.6,200,4129.958319
-656107.9,200,4136.89725
-1640375.6,200,4141.143465
-1615886.7,200,4145.66234
-717014.2,200,4149.988233
-1718347.9,200,4154.232016
-1623449.5,200,4158.493089
-1656342.6,200,4162.97111
-142387.7,200,4167.170266
-1733145.2,200,4171.630339
-1704692.3,200,4176.002939
-617142.4,200,4180.332399
-1714171.0,200,4184.723635
-1637235.4,200,4189.001395
-1912421.4,200,4193.277234
-2238409.4,200,4197.726509
-1718067.9,200,4202.091904
-2293285.9,200,4206.584531
-1670803.9,200,4210.720361
-1654809.6,200,4214.97947
-1618205.8,200,4219.422175
-2129091.1,200,4226.650465
-162871.1,200,4230.859645
-144966.5,200,4235.065694
-1709759.6,200,4239.471155
-698273.1,200,4243.782461
-675106.6,200,4248.159134
-637377.3,200,4252.319858
-1703968.5,200,4256.530292
-1689170.5,200,4260.785149
-711686.5,200,4265.153591
-982541.0,200,4269.497768
-659310.4,200,4273.737947
-143208.5,200,4277.833429
-2079461.8,200,4282.403363
-1582396.6,200,4286.893549
-669934.3,200,4291.086121
-1655967.4,200,4295.427876
-1714920.0,200,4299.84597
-737590.0,200,4304.324245
-1701650.1,200,4308.645577
-1673783.1,200,4312.929555
-1659383.3,200,4320.128601
-733012.7,200,4324.413126
-131868.8,200,4328.661277
-721788.2,200,4333.045764
-648223.8,200,4337.4591
-1776672.6,200,4341.601542
-573579.3,200,4345.956182
-130739.0,200,4350.041983
-1663059.8,200,4354.328701
-710006.5,200,4358.711231
-698624.5,200,4363.040068
